Реплика;Эмоция;;;
Взбодрись!;Joy;;;
Не подружись.;Neutral;;;
Она хмурилась.;Sadness;;;
Не обеспокой!;Anger;;;
Она помучилась.;Sadness;;;
Не жалей?;Anger;;;
Она не разревелась?;Surprise;;;
Она не кисла?;Surprise;;;
Мечтай?;Joy;;;
Она страдала.;Sadness;;;
Рассмейся!;Joy;;;
Помрачись?;Sadness;;;
Она не наскучивала.;Joy;;;
Она перепугалась.;Fear;;;
Не майся!;Anger;;;
Сломись.;Anger;;;
Блаженствуй.;Joy;;;
Она выматывала?;Sadness;;;
Не воскресай!;Anger;;;
Поощряй!;Joy;;;
Она не изматывала.;Neutral;;;
Она приободрялась.;Joy;;;
Не развесели!;Sadness;;;
Настрадайся.;Sadness;;;
Она убила?;Fear;;;
Она не измаялась!;Anger;;;
Не смей.;Anger;;;
Она сконфузилась?;Surprise;;;
Развесели?;Joy;;;
Побаивайся.;Fear;;;
Трясись?;Fear;;;
Она не омрачилась.;Joy;;;
Она не пригорюнилась.;Joy;;;
Помрачись.;Sadness;;;
Страдай.;Sadness;;;
Она не затосковала?;Surprise;;;
Не взгрустни?;Joy;;;
Она обмерла?;Fear;;;
Не повреди.;Fear;;;
Осерчай?;Anger;;;
Не волнуйся!;Joy;;;
Она веселилась.;Joy;;;
Не убивай!;Fear;;;
Она разозлила!;Anger;;;
Не тоскуй.;Joy;;;
Она покаялась!;Joy;;;
Не заволнуйся.;Joy;;;
Она обмирала?;Surprise;;;
Она не дрожала!;Joy;;;
Остолбеней.;Anger;;;
Она не омрачилась!;Joy;;;
Встревожь!;Fear;;;
Обрадуйся.;Joy;;;
Она не предвкушала?;Surprise;;;
Она скисла.;Sadness;;;
Дави.;Anger;;;
Не кисни!;Joy;;;
Не стыдись?;Surprise;;;
Понервничай.;Fear;;;
Не заледеней!;Anger;;;
Она не проклинала!;Joy;;;
Она не упилась!;Anger;;;
Надоешь!;Anger;;;
Она запугала!;Fear;;;
Не обозлись!;Anger;;;
Помрачи.;Sadness;;;
Она не леденила.;Неграмматично;;;
Не люби.;Sadness;;;
Терзайся.;Sadness;;;
Терроризируй!;Anger;;;
Она не окрылила?;Surprise;;;
Она не удивила!;Anger;;;
Опечаль.;Sadness;;;
Она восторгала.;Joy;;;
Не порадуй!;Sadness;;;
Она утомляла?;Surprise;;;
Она не удивлялась!;Anger;;;
Не помрачайся?;Surprise;;;
Не измочаливай?;Surprise;;;
Не удивляйся?;Surprise;;;
Не повеселись!;Sadness;;;
Раздосадуйся?;Sadness;;;
Не просияй?;Surprise;;;
Переволнуйся.;Fear;;;
Беспокойся.;Fear;;;
Она не соскучилась?;Surprise;;;
Она не освежала!;Sadness;;;
Не ненавидь!;Fear;;;
Хмурься?;Sadness;;;
Она глушила?;Surprise;;;
Растревоживай!;Fear;;;
Не утомляй.;Anger;;;
Она рассердилась?;Fear;;;
Воскресай!;Joy;;;
Она устрашалась.;Fear;;;
Она не ужасалась?;Surprise;;;
Рассвирепей!;Anger;;;
Она освежалась?;Joy;;;
Она не шантажировала?;Surprise;;;
Она тряслась?;Fear;;;
Она хандрила!;Sadness;;;
Она не рассердила?;Surprise;;;
Она не вознегодовала?;Surprise;;;
Не хмурься.;Joy;;;
Она отпугивала?;Surprise;;;
Не умай?;Surprise;;;
Она беспокоила?;Surprise;;;
Перепугай.;Fear;;;
Она не злела!;Anger;;;
Она не пугала!;Joy;;;
Не сломи.;Joy;;;
Не прискучь?;Surprise;;;
Не огорчай.;Joy;;;
Скорби!;Sadness;;;
Не сникни!;Joy;;;
Не настрадайся.;Joy;;;
Она не обозлила!;Neutral;;;
Она позлорадствовала?;Anger;;;
Она не потрясала?;Surprise;;;
Она выстрадала.;Sadness;;;
Она плавала?;Surprise;;;
Она уважала?;Surprise;;;
Она мечтала?;Surprise;;;
Она не нервировала!;Joy;;;
Она интересовалась.;Joy;;;
Она дрожала.;Fear;;;
Тревожь?;Fear;;;
Она не мечтала.;Sadness;;;
Она стервенела?;Anger;;;
Взбесись.;Anger;;;
Она хлебнула!;Joy;;;
Она вымотала!;Anger;;;
Струхни!;Fear;;;
Не изной!;Anger;;;
Не разревись?;Surprise;;;
Не тревожься?;Surprise;;;
Она оплакивала?;Sadness;;;
Она скучала!;Sadness;;;
Она не никла.;Joy;;;
Не травмируй?;Surprise;;;
Не ошеломи?;Surprise;;;
Не освежайся?;Surprise;;;
Не грусти.;Joy;;;
Натерпись?;Sadness;;;
Удручи.;Sadness;;;
Она не обеспокоила!;Joy;;;
Она насмехалась?;Joy;;;
Она измотала.;Sadness;;;
Она не оплакала!;Sadness;;;
Она угрожала?;Anger;;;
Она не взбеленилась.;Neutral;;;
Не окрысься.;Anger;;;
Надоедай!;Sadness;;;
Не раздразни?;Surprise;;;
Леденей?;Surprise;;;
Она развлеклась!;Joy;;;
Посетуй!;Sadness;;;
Не умаивай!;Anger;;;
Она опечаливала!;Sadness;;;
Не удиви!;Neutral;;;
Она не надоедала?;Surprise;;;
Рассмеши?;Joy;;;
Не опечаливай.;Joy;;;
Трепещи.;Fear;;;
Не торжествуй.;Sadness;;;
Интересуйся!;Joy;;;
Не поразись!;Neutral;;;
Она не злилась.;Joy;;;
Она помучилась!;Sadness;;;
Она не возмущалась!;Joy;;;
Утомись!;Sadness;;;
Не освежай!;Sadness;;;
Она не ярилась?;Surprise;;;
Она окрысилась.;Anger;;;
Не потрясай?;Surprise;;;
Она колола?;Surprise;;;
Не нервничай?;Surprise;;;
Застращай.;Fear;;;
Она не преследовала.;Neutral;;;
Никни.;Sadness;;;
Она не взбодрилась!;Sadness;;;
Она не любила?;Sadness;;;
Не захандри?;Surprise;;;
Она не вытерпела.;Anger;;;
Струси?;Fear;;;
Она негодовала.;Anger;;;
Она светилась!;Joy;;;
Устрашай.;Fear;;;
Расстраивайся?;Sadness;;;
Она испугалась!;Fear;;;
Не светись?;Surprise;;;
Ледени?;Неграмматично;;;
Услаждайся?;Joy;;;
Она не измочалила?;Surprise;;;
Она подосадовала!;Sadness;;;
Она обалдела!;Surprise;;;
Она промаялась!;Sadness;;;
Она расстраивала!;Sadness;;;
Не ошеломи!;Anger;;;
Встревожься!;Fear;;;
Растревоживай?;Fear;;;
Она никла?;Sadness;;;
Она не болела!;Joy;;;
Она не обрадовалась?;Surprise;;;
Она не струсила.;Joy;;;
Не подбодрись?;Sadness;;;
Она восхитила.;Joy;;;
Не осердись!;Fear;;;
Запугай?;Fear;;;
Оживи.;Joy;;;
Не огорчи!;Anger;;;
Она измоталась!;Sadness;;;
Не травмируй.;Neutral;;;
Не расстрой.;Joy;;;
Она потосковала!;Sadness;;;
Озлобь!;Anger;;;
Встряхнись?;Joy;;;
Она не взбесилась.;Neutral;;;
Она достала.;Anger;;;
Не помрачай!;Joy;;;
Не сокруши!;Anger;;;
Забеспокойся!;Fear;;;
Встревожься.;Fear;;;
Она не растревоживала!;Joy;;;
Она не нервничала!;Joy;;;
Не туманься?;Неграмматично;;;
Она не встряхнулась.;Sadness;;;
Она не подавляла?;Surprise;;;
Удручай?;Sadness;;;
Она опечалила.;Sadness;;;
Смей!;Joy;;;
Она забоялась?;Fear;;;
Она не огорчила?;Surprise;;;
Она растревоживала?;Fear;;;
Не переволнуй!;Anger;;;
Не подступай?;Surprise;;;
Нервничай!;Fear;;;
Она не процветала!;Sadness;;;
Она никла.;Sadness;;;
Не торжествуй!;Sadness;;;
Не взбесись!;Anger;;;
Она изнервничалась.;Fear;;;
Она не сокрушила?;Surprise;;;
Она стеснялась.;Fear;;;
Не изумись?;Surprise;;;
Не разочаруй.;Neutral;;;
Она не ошеломила.;Neutral;;;
Кручинься!;Sadness;;;
Она не преследовала?;Surprise;;;
Она не цвела!;Sadness;;;
Не подосадуй?;Surprise;;;
Она не сдрейфила.;Joy;;;
Скисай?;Sadness;;;
Она не утомлялась.;Joy;;;
Пьяней.;Neutral;;;
Не ослепи!;Anger;;;
Она не приободрялась!;Sadness;;;
Она расстраивала.;Sadness;;;
Она не гордилась!;Sadness;;;
Не обидься?;Surprise;;;
Она не взъярилась?;Surprise;;;
Мечтай.;Joy;;;
Она преследовала.;Fear;;;
Проклинай?;Anger;;;
Гневайся!;Anger;;;
Пошути.;Joy;;;
Она кисла.;Sadness;;;
Не поверь?;Surprise;;;
Не умай.;Joy;;;
Не разъярись?;Surprise;;;
Разобидься?;Sadness;;;
Измучься.;Sadness;;;
Она взвыла.;Sadness;;;
Она выстрадала?;Sadness;;;
Она не подивилась.;Neutral;;;
Она не злобилась?;Fear;;;
Она побаивалась!;Fear;;;
Запугивай.;Fear;;;
Злорадствуй!;Anger;;;
Не кручинься!;Joy;;;
Расцвети!;Joy;;;
Измотай?;Sadness;;;
Не побаивайся.;Joy;;;
Она злела!;Anger;;;
Она не радовала!;Sadness;;;
Она не опьянела.;Neutral;;;
Мучь.;Sadness;;;
Она не переживала.;Joy;;;
Она пригорюнилась.;Sadness;;;
Она не страдала!;Joy;;;
Хвати.;Neutral;;;
Она не обалдевала!;Neutral;;;
Она взъярилась.;Anger;;;
Не возмущайся!;Anger;;;
Заинтересуй!;Joy;;;
Раздражай.;Anger;;;
Не подави.;Neutral;;;
Она резвилась?;Joy;;;
Она не вытерпела!;Anger;;;
Она не пригорюнилась!;Joy;;;
Балдей.;Joy;;;
Презирай?;Anger;;;
Она не взволновалась.;Neutral;;;
Она не насмехалась.;Sadness;;;
Не раздражи.;Neutral;;;
Глуши!;Anger;;;
Она омрачила!;Sadness;;;
Она перетерпела?;Sadness;;;
Пугани?;Fear;;;
Она не негодовала!;Joy;;;
Она не огорчалась?;Surprise;;;
Переживай!;Fear;;;
Плавай?;Surprise;;;
Она наслаждалась!;Joy;;;
Она не заинтересовала?;Surprise;;;
Она не пригорюнилась?;Surprise;;;
Она не обрадовалась!;Sadness;;;
Она гнела?;Sadness;;;
Огорчай!;Sadness;;;
Надейся!;Joy;;;
Не ужасайся!;Joy;;;
Угрюмей!;Sadness;;;
Она озлилась?;Anger;;;
Разревись!;Sadness;;;
Она расстроилась.;Sadness;;;
Она не пуганула!;Joy;;;
Не встряхивайся?;Surprise;;;
Не умайся.;Anger;;;
Она не оживила.;Sadness;;;
Она недолюбливала.;Anger;;;
Точи!;Neutral;;;
Не озлобляйся.;Joy;;;
Она не убила!;Joy;;;
Не пугани.;Neutral;;;
Она не встряхивалась?;Surprise;;;
Не раздосадуйся?;Surprise;;;
Она взбодрилась.;Joy;;;
Перетерпи?;Sadness;;;
Она погоревала!;Sadness;;;
Не измотай!;Anger;;;
Она шантажировала?;Surprise;;;
Она не ненавидела?;Surprise;;;
Она не воодушевилась.;Sadness;;;
Она раздражалась?;Anger;;;
Она обрадовала!;Joy;;;
Не мечтай.;Sadness;;;
Дрожи.;Fear;;;
Она не расцветала.;Sadness;;;
Интересуйся?;Joy;;;
Она прискучивала?;Sadness;;;
Не глуши!;Anger;;;
Она не разозлила?;Surprise;;;
Она не раздавила!;Surprise;;;
Она не затравила!;Neutral;;;
Не привязывайся?;Surprise;;;
Пугани!;Fear;;;
Не позлорадствуй!;Anger;;;
Раздосадуй?;Sadness;;;
Не загрусти?;Surprise;;;
Она не развлекла!;Sadness;;;
Она не разгневала?;Surprise;;;
Улыбайся.;Joy;;;
Тревожься!;Fear;;;
Не истоскуйся.;Joy;;;
Не прогневай!;Fear;;;
Кисни.;Sadness;;;
Захандри.;Sadness;;;
Она взволновала?;Fear;;;
Она не раздражалась.;Joy;;;
Она не утомляла?;Surprise;;;
Она не воскресла.;Neutral;;;
Стесняйся?;Fear;;;
Она не раздражалась?;Surprise;;;
Она не ликовала!;Anger;;;
Не понервничай.;Joy;;;
Она освежилась.;Joy;;;
Она не изумлялась!;Sadness;;;
Унывай.;Sadness;;;
Не огорчайся.;Joy;;;
Не озлобься!;Joy;;;
Не изнывай.;Joy;;;
Она не понервничала.;Neutral;;;
Негодуй!;Anger;;;
Пугни.;Fear;;;
Ярись?;Anger;;;
Устрашайся!;Fear;;;
Не изумись.;Sadness;;;
Не повреди!;Anger;;;
Она дивилась?;Surprise;;;
Она поволновалась?;Fear;;;
Захватывай.;Joy;;;
Она не поникла.;Joy;;;
Не растревожь.;Neutral;;;
Она не бесила!;Joy;;;
Скисни.;Sadness;;;
Осерчай!;Anger;;;
Не повеселей.;Sadness;;;
Она разгневалась.;Anger;;;
Она пуганула.;Fear;;;
Скисни?;Sadness;;;
Тяготи?;Sadness;;;
Не намыкайся?;Surprise;;;
Спугивай.;Fear;;;
Она не изнервничалась?;Surprise;;;
Она устрашила.;Fear;;;
Она ненавидела!;Anger;;;
Она не переволновалась!;Joy;;;
Она разгневалась!;Anger;;;
Она развеселила!;Joy;;;
Не ослепи?;Surprise;;;
Она упилась!;Joy;;;
Хихикай?;Joy;;;
Восторгай.;Joy;;;
Не возмутись!;Anger;;;
Она не взвыла?;Surprise;;;
Проклинай!;Anger;;;
Она не поразилась!;Surprise;;;
Не опостылей?;Surprise;;;
Она намучилась!;Sadness;;;
Не пой!;Anger;;;
Не сожалей.;Joy;;;
Она печалила?;Sadness;;;
Дрожи?;Fear;;;
Она не угрюмела!;Joy;;;
Она остолбенела.;Fear;;;
Она не разъярила?;Surprise;;;
Интересуйся.;Joy;;;
Тревожь.;Fear;;;
Она не разобиделась?;Surprise;;;
Она не извелась.;Joy;;;
Насыщайся!;Joy;;;
Не измотайся?;Surprise;;;
Она хихикала?;Joy;;;
Привязывайся.;Neutral;;;
Она не взорвала!;Neutral;;;
Она не мучилась.;Joy;;;
Она умаялась!;Sadness;;;
Просияй?;Joy;;;
Она колола.;Neutral;;;
Разнервничайся?;Fear;;;
Прогневай.;Anger;;;
Она напугала.;Fear;;;
Она не удивлялась.;Neutral;;;
Она посмеялась?;Joy;;;
Она взволновалась.;Fear;;;
Она прогневала!;Anger;;;
Надивись!;Surprise;;;
Исстрадайся.;Sadness;;;
Она не расстроила.;Joy;;;
Она поражала.;Surprise;;;
Она не загоревала.;Joy;;;
Утомись.;Sadness;;;
Она не достала!;Joy;;;
Она взбесила.;Anger;;;
Не возликуй.;Sadness;;;
Она смущалась?;Fear;;;
Не загорюй.;Joy;;;
Она плакала!;Sadness;;;
Восхити.;Joy;;;
Она не рассердилась?;Fear;;;
Не помрачай.;Joy;;;
Возненавидь!;Anger;;;
Она возрыдала?;Sadness;;;
Не восторгай!;Sadness;;;
Развлекись?;Joy;;;
Она не хлебнула?;Surprise;;;
Она извелась!;Sadness;;;
Убойся!;Fear;;;
Она не обрадовала!;Sadness;;;
Не переволнуй?;Surprise;;;
Не изводись!;Joy;;;
Не смущай?;Surprise;;;
Она не скорбела!;Joy;;;
Она не разгневала.;Joy;;;
Она опечалила?;Sadness;;;
Не пой.;Neutral;;;
Она не восхитилась?;Surprise;;;
Возвеселись!;Joy;;;
Не преследуй?;Surprise;;;
Не поднимай!;Anger;;;
Она восхитилась.;Joy;;;
Она разобиделась!;Sadness;;;
Она подивилась.;Surprise;;;
Не посетуй.;Joy;;;
Она взгрустнула.;Sadness;;;
Она огорчила?;Sadness;;;
Она не тушевалась?;Surprise;;;
Не огорчи.;Joy;;;
Она не вспылила.;Joy;;;
Она не потрясала!;Sadness;;;
Она не огорчилась!;Joy;;;
Она опьянела?;Surprise;;;
Побойся!;Fear;;;
Не ярись.;Fear;;;
Она не освежала?;Surprise;;;
Рассвирепей.;Anger;;;
Она страшила!;Fear;;;
Не омрачай?;Surprise;;;
Она осердилась?;Anger;;;
Она не негодовала?;Fear;;;
Она балдела.;Joy;;;
Она травмировала?;Anger;;;
Она заледенела!;Surprise;;;
Соси.;Anger;;;
Не озлобь!;Fear;;;
Страшись?;Fear;;;
Она не окрылила!;Sadness;;;
Она доставала?;Surprise;;;
Она не возрадовалась!;Surprise;;;
Она ослепила?;Joy;;;
Она не закручинилась?;Surprise;;;
Она не устыдилась.;Joy;;;
Разгневай.;Anger;;;
Она вытерпела.;Sadness;;;
Она не содрогалась!;Joy;;;
Она плавала!;Neutral;;;
Ледени!;Anger;;;
Она удивилась!;Surprise;;;
Она натерпелась.;Sadness;;;
Не встряхнись.;Sadness;;;
Расцвети?;Joy;;;
Она пугнула.;Fear;;;
Не волнуй.;Anger;;;
Прогневайся?;Anger;;;
Она не свирепела?;Surprise;;;
Она не скисала?;Surprise;;;
Она не дрожала.;Neutral;;;
Опечаль?;Sadness;;;
Она обалдевала?;Surprise;;;
Она не соскучилась!;Sadness;;;
Она сожалела?;Sadness;;;
Она леденела.;Neutral;;;
Тушуйся?;Fear;;;
Не изведись.;Joy;;;
Она не намучилась?;Surprise;;;
Она заволновалась.;Fear;;;
Она блаженствовала!;Joy;;;
Труси?;Fear;;;
Не злись!;Fear;;;
Она не сникала?;Surprise;;;
Не беспокойся?;Surprise;;;
Не покайся.;Joy;;;
Спугивай!;Fear;;;
Исстрадайся?;Sadness;;;
Она не забеспокоилась?;Surprise;;;
Она замучивалась?;Sadness;;;
Она не прискучила!;Joy;;;
Она не рассерчала.;Joy;;;
Томись?;Sadness;;;
Она пугалась.;Fear;;;
Она сломилась!;Joy;;;
Она взгрустнула!;Sadness;;;
Не кручинься.;Joy;;;
Подступай!;Neutral;;;
Она не захватывала!;Sadness;;;
Она удручила.;Sadness;;;
Не приободряйся.;Sadness;;;
Она не жалела.;Joy;;;
Она поплакала.;Sadness;;;
Она улыбнулась.;Joy;;;
Не резвись.;Sadness;;;
Раздосадуй!;Sadness;;;
Озлобь.;Anger;;;
Она не обмирала?;Surprise;;;
Вымотай!;Sadness;;;
Она не осточертела?;Anger;;;
Помрачи?;Sadness;;;
Торжествуй!;Joy;;;
Не озлобься?;Surprise;;;
Она не гневила?;Surprise;;;
Она повеселилась?;Joy;;;
Не упейся!;Anger;;;
Перепугайся?;Fear;;;
Утомляйся?;Sadness;;;
Изнемогай?;Sadness;;;
Она не сникла?;Surprise;;;
Она не окрылилась.;Neutral;;;
Она не печалила!;Joy;;;
Она не окрысилась?;Surprise;;;
Возмутись.;Anger;;;
Восхитись.;Joy;;;
Она восторгалась?;Joy;;;
Озлобься!;Anger;;;
Изуми.;Surprise;;;
Не порадуйся.;Sadness;;;
Не раздразнивай?;Surprise;;;
Она сохла.;Sadness;;;
Потоскуй.;Sadness;;;
Не угнетай.;Fear;;;
Она не растревоживала?;Surprise;;;
Она обмерла!;Fear;;;
Радуй.;Joy;;;
Она не приуныла?;Surprise;;;
Повеселей!;Joy;;;
Не сникай?;Surprise;;;
Блаженствуй!;Joy;;;
Она не тужила!;Joy;;;
Не прослезись.;Joy;;;
Не гневайся?;Surprise;;;
Она удивлялась.;Surprise;;;
Умаивай?;Sadness;;;
Она не угрожала?;Surprise;;;
Она не помрачила?;Surprise;;;
Загрусти?;Sadness;;;
Взволнуйся?;Fear;;;
Не насмехайся?;Surprise;;;
Посмеивайся!;Joy;;;
Она рассмешила!;Joy;;;
Утомляй?;Sadness;;;
Она стеснялась!;Fear;;;
Кисни?;Sadness;;;
Не сломись!;Joy;;;
Негодуй?;Anger;;;
Струхни?;Fear;;;
Она удивляла?;Surprise;;;
Она не обмерла?;Surprise;;;
Не закручинься?;Surprise;;;
Она не ошеломила?;Surprise;;;
Она позлорадствовала.;Anger;;;
Она не извелась?;Surprise;;;
Не веселись.;Sadness;;;
Она изнурила!;Anger;;;
Кручинься.;Sadness;;;
Она не смущалась?;Surprise;;;
Не измотай.;Neutral;;;
Она не леденела?;Surprise;;;
Она не смела!;Anger;;;
Она сникала?;Sadness;;;
Вымотай.;Sadness;;;
Она не цвела?;Surprise;;;
Она заледенела.;Neutral;;;
Она не упивалась!;Joy;;;
Не разобидься!;Anger;;;
Она не повредила!;Joy;;;
Она не осердилась!;Joy;;;
Она не стращала!;Joy;;;
Не оплачь?;Surprise;;;
Напугайся!;Fear;;;
Воскресай.;Neutral;;;
Она не восхитила?;Surprise;;;
Она не посетовала?;Surprise;;;
Она стращала?;Fear;;;
Она опостылела?;Sadness;;;
Она не расстроила?;Surprise;;;
Она не серчала.;Joy;;;
Она поражалась!;Surprise;;;
Печалься!;Sadness;;;
Не помрачайся!;Joy;;;
Она сосала.;Neutral;;;
Она упивалась!;Joy;;;
Фыркай!;Anger;;;
Она раздразнивала.;Joy;;;
Она не жгла.;Sadness;;;
Развлекай.;Joy;;;
Она не взбесила!;Joy;;;
Она стыдилась?;Fear;;;
Не резвись?;Sadness;;;
Она забоялась!;Fear;;;
Разозлись?;Anger;;;
Не сердись!;Fear;;;
Не горюй!;Joy;;;
Она не удовлетворялась?;Sadness;;;
Она заскучала?;Sadness;;;
Не помучься.;Neutral;;;
Она разревелась!;Sadness;;;
Обрадуй.;Joy;;;
Она не осердилась.;Joy;;;
Она отчаялась.;Sadness;;;
Не восхити.;Sadness;;;
Она рассмешила?;Joy;;;
Она позабавилась.;Joy;;;
Отпугивай!;Fear;;;
Она загоревала?;Sadness;;;
Она помрачилась?;Sadness;;;
Не освежайся!;Sadness;;;
Она не сокрушалась.;Joy;;;
Не пугайся!;Joy;;;
Не туманься!;Неграмматично;;;
Не недоумевай!;Anger;;;
Не огорчай?;Surprise;;;
Не доставай?;Surprise;;;
Болей!;Anger;;;
Она перетревожила.;Fear;;;
Не подиви?;Surprise;;;
Не опасайся!;Joy;;;
Осознавай.;Neutral;;;
Не вспыли!;Anger;;;
Она не хандрила!;Joy;;;
Она перетревожила?;Fear;;;
Она покаялась.;Sadness;;;
Она истерзалась?;Sadness;;;
Бойся?;Fear;;;
Она раздосадовала!;Sadness;;;
Она не изумилась!;Surprise;;;
Не перепугайся.;Neutral;;;
Она радовалась!;Joy;;;
Она струхнула.;Fear;;;
Порадуй?;Joy;;;
Взбеси!;Anger;;;
Не скорби?;Surprise;;;
Она не скисала!;Joy;;;
Дуйся.;Sadness;;;
Она наскучивала?;Surprise;;;
Не возмути!;Anger;;;
Не порази!;Neutral;;;
Она радовалась.;Joy;;;
Пугни?;Fear;;;
Она не омрачалась.;Joy;;;
Она ободрялась!;Joy;;;
Паникуй.;Fear;;;
Не недолюбливай.;Joy;;;
Она не дулась?;Surprise;;;
Повреди.;Anger;;;
Она возвеселилась?;Joy;;;
Она не встряхнулась!;Sadness;;;
Не уважай.;Anger;;;
Она воскресла.;Neutral;;;
Не блаженствуй?;Sadness;;;
Не закручинься!;Joy;;;
Разгневайся!;Anger;;;
Переверни?;Surprise;;;
Она не отчаялась!;Joy;;;
Она не поразила.;Neutral;;;
Она восторгала?;Joy;;;
Беспокой!;Fear;;;
Обмирай.;Fear;;;
Не испугайся?;Surprise;;;
Не стесняйся!;Joy;;;
Она развеселилась?;Joy;;;
Не развлекай.;Sadness;;;
Она хватила.;Neutral;;;
Не посмейся.;Sadness;;;
Она обозлилась?;Anger;;;
Она не насмехалась!;Sadness;;;
Она позабавилась!;Joy;;;
Она не развлеклась.;Sadness;;;
Она не дрожала?;Surprise;;;
Она не ярилась.;Neutral;;;
Она сникала!;Sadness;;;
Не изнури?;Surprise;;;
Досадуй?;Sadness;;;
Не измайся?;Surprise;;;
Изводись!;Sadness;;;
Она презирала.;Anger;;;
Встряхивайся?;Joy;;;
Гневи?;Anger;;;
Не развесели?;Sadness;;;
Скучай?;Sadness;;;
Не опечаливай!;Joy;;;
Удручи!;Sadness;;;
Она расцветала!;Joy;;;
Она переутомила.;Sadness;;;
Не угрожай!;Anger;;;
Она не туманилась.;Неграмматично;;;
Ужасай.;Fear;;;
Не освежись.;Sadness;;;
Она не надоела!;Joy;;;
Не возмущай!;Anger;;;
Она подавляла?;Anger;;;
Не устыдись?;Surprise;;;
Она не осерчала.;Neutral;;;
Она не заволновалась.;Neutral;;;
Не расстройся.;Joy;;;
Не досадуй.;Joy;;;
Она не надоедала!;Joy;;;
Она не подосадовала.;Joy;;;
Она не растревоживала.;Joy;;;
Замучься!;Sadness;;;
Она сторонилась?;Surprise;;;
Она ошеломила.;Surprise;;;
Туманься.;Неграмматично;;;
Не перенервничай.;Neutral;;;
Она не умаялась.;Joy;;;
Она не взволновала?;Surprise;;;
Она не омрачалась?;Surprise;;;
Не выстрадай!;Joy;;;
Не смущай!;Anger;;;
Озлобь?;Anger;;;
Она не напугалась!;Sadness;;;
Она не перетерпела!;Anger;;;
Не позлись.;Neutral;;;
Не вымотай!;Anger;;;
Взбадривайся!;Joy;;;
Ненавидь.;Anger;;;
Не скорби!;Joy;;;
Она истерзалась!;Sadness;;;
Не струхни!;Joy;;;
Удивляйся.;Surprise;;;
Не обрадуйся!;Sadness;;;
Проплачь.;Sadness;;;
Она развеселила?;Joy;;;
Не обмирай!;Anger;;;
Она не тревожила!;Joy;;;
Ликуй?;Joy;;;
Не измочаль?;Surprise;;;
Перепугай!;Fear;;;
Угнетай!;Sadness;;;
Приунывай.;Sadness;;;
Воодушевись?;Joy;;;
Не удовлетворяйся?;Sadness;;;
Она не посмеялась?;Surprise;;;
Разъярись.;Anger;;;
Не понервничай?;Surprise;;;
Она не тревожилась!;Joy;;;
Она смеялась?;Joy;;;
Она не расцвела?;Surprise;;;
Она не пугнула.;Neutral;;;
Не окрыли?;Sadness;;;
Взбодрись.;Joy;;;
Она не раздражила?;Surprise;;;
Она взвыла!;Sadness;;;
Она возрыдала!;Sadness;;;
Осердись!;Anger;;;
Не тужи!;Joy;;;
Она давила?;Anger;;;
Она удивилась.;Surprise;;;
Она не повеселилась?;Surprise;;;
Презирай.;Anger;;;
Она ужаснула!;Fear;;;
Страшись.;Fear;;;
Не застращай!;Anger;;;
Не тревожь!;Anger;;;
Она стыдилась!;Fear;;;
Она не скорбела?;Surprise;;;
Омрачай!;Sadness;;;
Она не горевала?;Surprise;;;
Не расцветай.;Sadness;;;
Она волновала.;Fear;;;
Не резвись!;Anger;;;
Ярись!;Anger;;;
Печаль!;Sadness;;;
Не разозли?;Surprise;;;
Не злобствуй.;Anger;;;
Она не встряхивалась.;Sadness;;;
Она плакала.;Sadness;;;
Не взбеси?;Surprise;;;
Не обеспокойся?;Surprise;;;
Она не забеспокоилась.;Neutral;;;
Она огорчилась!;Sadness;;;
Заинтересуй?;Joy;;;
Не осточертей?;Surprise;;;
Не освежайся.;Sadness;;;
Стращай!;Fear;;;
Обалдевай?;Surprise;;;
Забойся.;Fear;;;
Не серчай?;Surprise;;;
Она не раздразнила!;Joy;;;
Не подступай.;Anger;;;
Она возненавидела.;Anger;;;
Улыбнись?;Joy;;;
Она не рассердила!;Joy;;;
Не разозлись?;Surprise;;;
Она не заволновалась!;Joy;;;
Напугай.;Fear;;;
Переутомляй?;Sadness;;;
Не волнуй?;Surprise;;;
Вспыли.;Anger;;;
Не смей?;Surprise;;;
Не понервничай!;Joy;;;
Не конфузься!;Joy;;;
Она не травмировала.;Neutral;;;
Намыкайся!;Anger;;;
Она умаивала?;Sadness;;;
Не взбеленись?;Surprise;;;
Она не истосковалась.;Joy;;;
Она не смеялась.;Sadness;;;
Не обеспокой.;Neutral;;;
Она ободрилась?;Joy;;;
Не наскучивай?;Surprise;;;
Она изумилась.;Surprise;;;
Не проклинай!;Fear;;;
Она возмутила.;Anger;;;
Развлекай?;Joy;;;
Пугни!;Anger;;;
Она не обалдела?;Anger;;;
Не злись.;Fear;;;
Не восхитись!;Sadness;;;
Она изматывалась!;Sadness;;;
Помрачись!;Sadness;;;
Она не взгрустнула?;Surprise;;;
Не воскрешай.;Neutral;;;
Повреди?;Anger;;;
Она не тяготила.;Joy;;;
Она не поволновалась?;Surprise;;;
Не развлекай?;Sadness;;;
Она не дрейфила?;Surprise;;;
Тужи.;Sadness;;;
Насладись!;Joy;;;
Она не умаивала?;Surprise;;;
Омрачайся.;Sadness;;;
Она не сломила.;Joy;;;
Она не блаженствовала!;Sadness;;;
Она посмеялась!;Joy;;;
Осточертей?;Sadness;;;
Не наслаждайся!;Sadness;;;
Не удивляй!;Joy;;;
